participant_code,exam_score,exam_results,stimuli_set,total_payment,total_reward,prolific_id
1705958507527,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.54,10.8,650868d5afd62c7980c24f67
1705958642111,4,"Bool[1, 1, 0, 1, 1]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.66,13.2,5ffe97d636fe8d54580c662e
1705958823912,4,"Bool[0, 1, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.61,12.3,63ced757080ae0c723e93121
1705958895094,5,"Bool[1, 1, 1, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.7,14.0,6127b4b13db4ebb99802bd68
1705958870040,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.43,8.7,60fe0460e678d2576844fe5e
1705959141971,5,"Bool[1, 1, 1, 1, 1]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.6,12.1,611037a84b048a5bed5c3c96
1705959210140,5,"Bool[1, 1, 1, 1, 1]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.65,12.9,5bbafad7736db000016d8600
1705959015333,4,"Bool[1, 1, 1, 1, 0]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.4,8.0,65a5f1d32d64bfde9ca8beb4
1705959388896,3,"Bool[0, 0, 1, 1, 1]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.55,11.0,6547c5ffc2b79e88bad25705
1705960838055,5,"Bool[1, 1, 1, 1, 1]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.82,16.5,62ecb2993d7ecd89154af5d4
1706016838251,4,"Bool[0, 1, 1, 1, 1]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.57,11.3,5b8e9747a862a6000120a050
1706016817208,5,"Bool[1, 1, 1, 1, 1]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.66,13.2,62b055bb62f69229f957be65
1706016978160,5,"Bool[1, 1, 1, 1, 1]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.65,12.9,55d3586fda14d7000e9531d9
1706017128601,2,"Bool[0, 1, 0, 1, 0]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.57,11.4,6108716bd7e84ed9917914ac
1706016847776,3,"Bool[1, 0, 1, 1, 0]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.7,14.0,60f1b5914afdfda37d967845
1706017025729,4,"Bool[1, 1, 1, 1, 0]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.57,11.4,6310b35d758f80e9cf3f4e41
1706016853697,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.64,12.8,636148d7c918791f6fc8d86c
1706017064405,5,"Bool[1, 1, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.56,11.3,62a0157dca1f8dc74b79202d
1706016900113,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.6,11.9,56b10ae86399f9000ad8d987
1706017102916,4,"Bool[1, 1, 0, 1, 1]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.45,9.0,610866803c5edfd35f59cd0c
1706016865481,3,"Bool[0, 1, 1, 1, 0]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.25,5.0,5efcce586913680d063d7c5f
1706016917716,4,"Bool[1, 1, 1, 1, 0]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.37,7.3,62fcd9d412c2f366e0df8de0
1706017081524,2,"Bool[0, 1, 0, 0, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.2,4.0,5bad4db8b712f30001b87990
1706017001368,5,"Bool[1, 1, 1, 1, 1]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.57,11.4,5ee6706034f12e3d82d952aa
1706017109087,3,"Bool[1, 1, 1, 0, 0]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.57,11.5,62d2aee15e1dc6709bdcace0
1706016872834,4,"Bool[1, 1, 0, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.55,10.9,57d02ffb596f5d0001df741f
1706016992152,5,"Bool[1, 1, 1, 1, 1]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.72,14.5,577d11f88b3e2300016d74a0
1706016954177,5,"Bool[1, 1, 1, 1, 1]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.6,12.0,5c79608452e62f00169b1fe6
1706017046336,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.43,8.6,6014213c77aab7396ca3e5a7
1706017210170,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.52,10.4,5d17ce93ac37cd0019535088
1706017065056,5,"Bool[1, 1, 1, 1, 1]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.48,9.7,611131e47725f6a04c723651
1706016944353,4,"Bool[1, 1, 0, 1, 1]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.61,12.2,6286c49fc49ab4b3b78d06a2
1706017016235,5,"Bool[1, 1, 1, 1, 1]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.42,8.3,6168a697ae9f4d8dcfada29b
1706017157639,5,"Bool[1, 1, 1, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.47,9.3,605776c7ffd8cb64476fc73f
1706017144839,3,"Bool[1, 1, 0, 1, 0]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.65,13.0,61083a81b73e8f4168364565
1706016999833,3,"Bool[1, 0, 0, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.42,8.5,6503c6c820f628ab2175e457
1706017085724,5,"Bool[1, 1, 1, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.62,12.3,5f4f9ae3ad423e06078d548f
1706017102894,3,"Bool[0, 1, 0, 1, 1]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.45,9.0,648173706e240648a2a8de02
1706016858041,4,"Bool[1, 1, 0, 1, 1]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.7,14.0,62c44d672834a5c5ce7362f1
1706016935800,5,"Bool[1, 1, 1, 1, 1]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.81,16.2,5b98d9362cca9c0001de161f
1706017068032,4,"Bool[1, 1, 1, 1, 0]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.67,13.3,639e0331bc3cc615f5a3dd89
1706017177482,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.6,12.0,5a6f60e4efd3a7000120f057
1706017555568,3,"Bool[0, 1, 0, 1, 1]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.54,10.8,632aaef27780d596dc7e0a9f
1706017180211,4,"Bool[1, 1, 1, 0, 1]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.62,12.5,5f4f93bcb46af5055714d433
1706017548305,4,"Bool[0, 1, 1, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.4,8.0,63ea5be8b2ca91384436e184
1706017190843,5,"Bool[1, 1, 1, 1, 1]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.64,12.8,5efef32a88bb6a01c8087591
1706018812510,5,"Bool[1, 1, 1, 1, 1]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.6,12.0,63addea191535251fd367308
1706018028329,4,"Bool[1, 1, 0, 1, 1]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.62,12.3,650478dde813214cf0ebaa10
1706017108803,5,"Bool[1, 1, 1, 1, 1]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.61,12.2,65ae75ddcc163b8e8b23d45b
1706017116140,4,"Bool[0, 1, 1, 1, 1]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.49,9.8,5cfc3ebe4137a000198edf1d
1706036523047,5,"Bool[1, 1, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.65,13.1,62aa26592478d039ddeaaa4c
1706036517718,3,"Bool[1, 1, 1, 0, 0]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.25,5.0,63c3068bd61c16717eeea2e5
1706036547603,4,"Bool[1, 1, 0, 1, 1]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.69,13.7,63e55bb2f8e6aec6a4031bd8
1706036533515,5,"Bool[1, 1, 1, 1, 1]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.64,12.8,570b7b5fb9b52b00102d96f9
1706036532079,5,"Bool[1, 1, 1, 1, 1]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.58,11.6,6596e6a533b0ee0849c5e168
1706036562576,3,"Bool[1, 1, 0, 1, 0]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.35,7.0,6100158db3080c7b157e85f1
1706036525225,4,"Bool[1, 1, 1, 1, 0]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.68,13.5,6564a4689e58a4504f5ee238
1706036506695,4,"Bool[0, 1, 1, 1, 1]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.46,9.3,63fcf26a814570a76bcf2237
1706036584634,5,"Bool[1, 1, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.57,11.4,5b33034d975e260001e981c9
1706036550450,5,"Bool[1, 1, 1, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.6,12.1,5e46aa20caec81000b7d4f93
1706036521556,4,"Bool[1, 1, 0, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.46,9.2,629082739390703f993b12bd
1706036520142,4,"Bool[1, 1, 1, 1, 0]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.72,14.3,5e5165d2f1ecb418da9c2db7
1706036301666,2,"Bool[0, 1, 0, 1, 0]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.55,11.0,5c8fa199208071000183d490
1706036530707,3,"Bool[0, 1, 1, 1, 0]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.31,6.3,568e7e33e3ef9e000da202a7
1706036551081,5,"Bool[1, 1, 1, 1, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.72,14.4,5ad0f1934d061300011b0a4d
1706036617558,4,"Bool[1, 1, 0, 1, 1]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.64,12.8,6068f61c52d7168e0c8b049f
1706036620019,5,"Bool[1, 1, 1, 1, 1]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.67,13.3,631ffc3584141f143567f021
1706036564629,5,"Bool[1, 1, 1, 1, 1]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.58,11.7,62f1b2691a5ac1c03a9987a0
1706036517166,1,"Bool[0, 0, 0, 1, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.74,14.8,64401360c45f52531fde4aa6
1706036543978,4,"Bool[1, 1, 1, 1, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.47,9.5,5e544727059e3744ccdd4c3b
1706036546063,4,"Bool[1, 1, 1, 1, 0]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.53,10.7,59ed2107ae9f950001d848f6
1706036545353,5,"Bool[1, 1, 1, 1, 1]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.47,9.3,58d069219dbe3f0001258793
1706036765799,5,"Bool[1, 1, 1, 1, 1]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.59,11.8,5c4353086ce36f0001205f65
1706036551582,2,"Bool[0, 0, 1, 1, 0]","[9, 2, 17, 6, 11, 8, 5, 15, 13]",0.25,5.1,5e07a0898dffa00ff1aaf60f
1706036543081,3,"Bool[0, 1, 0, 1, 1]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.41,8.2,654650d81f8c08c3ed255709
1706036555869,2,"Bool[1, 0, 1, 0, 0]","[6, 11, 5, 2, 17, 15, 13, 10, 8]",0.6,12.0,63c437337eef664e06fdf1f7
1706036550485,5,"Bool[1, 1, 1, 1, 1]","[4, 16, 18, 3, 7, 10, 12, 14, 1]",0.68,13.5,5f5834134283933a1c3b42d0
1706036531895,5,"Bool[1, 1, 1, 1, 1]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.47,9.5,655edbead5167a59c54d9353
1706036547627,4,"Bool[1, 1, 1, 1, 0]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.55,11.0,6143af8721d1445864c4f6c8
1706036561918,5,"Bool[1, 1, 1, 1, 1]","[4, 14, 1, 18, 3, 9, 16, 7, 11]",0.39,7.7,6532f56abd8ee77f20984063
1706036841250,5,"Bool[1, 1, 1, 1, 1]","[4, 14, 1, 18, 3, 9, 16, 7, 11]",0.62,12.3,574dc90512d86b000f833ab0
1706036585789,3,"Bool[0, 1, 0, 1, 1]","[16, 8, 1, 3, 14, 18, 12, 10, 4]",0.64,12.8,6287a8c4a6303ff156cd0853
1706036577219,2,"Bool[0, 0, 1, 1, 0]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.42,8.5,61632b52ab37a7fde834300f
1706036602277,3,"Bool[0, 1, 0, 1, 1]","[15, 17, 7, 11, 6, 5, 9, 13, 2]",0.66,13.2,656e0dab178ffccdaa47202e
1706036861066,5,"Bool[1, 1, 1, 1, 1]","[8, 2, 15, 12, 17, 13, 6, 10, 5]",0.3,5.9,5b9efb73d1ff7a00013bfe84
1706036581626,3,"Bool[0, 0, 1, 1, 1]","[13, 9, 2, 7, 17, 15, 3, 4, 11]",0.53,10.7,659b3577547f20229a913c77
1706036535591,5,"Bool[1, 1, 1, 1, 1]","[4, 14, 1, 18, 3, 9, 16, 7, 11]",0.56,11.3,63fa2f029381a13d9f2a36a8
1706036569682,3,"Bool[1, 0, 1, 1, 0]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.76,15.2,5ec00f62cf12be40ea6fe344
1706036549826,4,"Bool[1, 0, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.47,9.4,5eced9328405902eef967571
1706036556939,2,"Bool[1, 0, 0, 1, 0]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.51,10.2,61bb389740db417c1a138cad
1706036514653,5,"Bool[1, 1, 1, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.49,9.8,5dd4a7c9c0823f494b158668
1706037117582,5,"Bool[1, 1, 1, 1, 1]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.58,11.6,5d4a41890e604c00011ade8b
1706036570864,5,"Bool[1, 1, 1, 1, 1]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.64,12.8,5dec8925be656d35d4005320
1706036583347,3,"Bool[1, 0, 0, 1, 1]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.28,5.6,64345edc0fd9813bdd9ef181
1706036540675,3,"Bool[1, 1, 0, 1, 0]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.38,7.5,646bf9533847a5cbaac4825c
1706036504128,5,"Bool[1, 1, 1, 1, 1]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.55,11.0,604196269c9962199e6dd85c
1706037847761,2,"Bool[0, 0, 0, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.5,10.0,6341a541b6cfd5f8933f48c4
1706036729793,4,"Bool[1, 1, 1, 1, 0]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.51,10.2,61539b3fa541b182c0fadde1
1706038083407,3,"Bool[1, 0, 1, 1, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.33,6.5,5f2047f472c1fd2eaf643c64
1706036577920,2,"Bool[1, 1, 0, 0, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.52,10.3,5ea237d872cd2a144b99a177
